lat,lng,code,key
1.29684825488,103.852535917,01012,01012
1.2977097061,103.853224746,01013,01013
1.2969829014,103.853021626,01019,01019
1.29667298496,103.854414225,01029,01029
1.2982078414,103.855491398,01039,01039
1.30015494414,103.855233229,01112,01112
1.2996000643,103.855128151,01119,01119
1.30033057856,103.857160807,01139,01139
1.30757636919,103.86326106,01319,01319
1.30495670239,103.863630285,01329,01329
1.30774601733,103.864262747,01339,01339
1.30647555601,103.864525278,01341,01341
1.30568635717,103.865439944,01349,01349
1.30201999999,103.863263333,01419,01419
1.303384444,103.864838889,01421,01421
1.30321360894,103.865015848,01429,01429
1.29919826104,103.858645183,01511,01511
1.29907209081,103.85892187,01519,01519
1.30088304438,103.860660982,01521,01521
1.30041667677,103.860441153,01529,01529
1.29902652314,103.857244102,01541,01541
1.30069868861,103.858731205,01549,01549
1.29529638631,103.8553904,01611,01611
1.29523465084,103.855660582,01619,01619
1.29695888889,103.856556111,01621,01621
1.2969597222,103.856865278,01629,01629
1.29693614589,103.855805555,01631,01631
1.29738750001,103.855575833,01639,01639
1.28829500001,103.852088889,02011,02011
1.28896861101,103.853006944,02029,02029
1.29174114657,103.851177488,02031,02031
1.29456850155,103.854012037,02049,02049
1.28950305561,103.859033889,02051,02051
1.2899638889,103.856403889,02061,02061
1.29152694445,103.859206111,02089,02089
1.29101661693,103.862557722,02099,02099
1.28938483787,103.861910003,02101,02101
1.29094878511,103.854537764,02111,02111
1.29184407357,103.855343343,02119,02119
1.29576571603,103.859338146,02141,02141
1.29560459818,103.85955533,02149,02149
1.29317776321,103.85784623,02151,02151
1.29355100518,103.858381744,02159,02159
1.29252611119,103.860891111,02161,02161
1.29345972029,103.860612122,02169,02169
1.29070000004,103.860921944,02171,02171
1.28947444402,103.850981667,02181,02181
1.28559758918,103.853335977,03011,03011
1.28424500001,103.853108056,03019,03019
1.28255524603,103.849989038,03021,03021
1.28218199783,103.850938082,03031,03031
1.28179509395,103.848932074,03041,03041
1.28097649556,103.851356526,03059,03059
1.28013250204,103.849472521,03071,03071
1.27794676099,103.848177702,03111,03111
1.27807003532,103.849567181,03129,03129
1.27892124625,103.847762346,03151,03151
1.27327487841,103.846644677,03211,03211
1.27407888884,103.846873889,03218,03218
1.27397836926,103.844895629,03222,03222
1.27290689171,103.846706692,03239,03239
1.27621825142,103.859218749,03321,03321
1.27638333301,103.859509444,03329,03329
1.27657109714,103.860782999,03331,03331
1.27644333298,103.860600278,03339,03339
1.2816188749,103.85309726,03381,03381
1.2803718445,103.854986968,03391,03391
1.26643695051,103.85998696,03421,03421
1.28499944185,103.860610578,03501,03501
1.28314999997,103.860043889,03509,03509
1.28194708086,103.85897279,03511,03511
1.281245,103.858848,03519,03519
1.27829454759,103.853810201,03531,03531
1.2781491298,103.853673687,03539,03539
1.2939556314,103.851335049,04111,04111
1.2961259544,103.849586248,04121,04121
1.29308898457,103.84967208,04142,04142
1.29411640848,103.850206069,04143,04143
1.29276275169,103.849843124,04149,04149
1.29533777799,103.851139722,04151,04151
1.29489484955,103.851081387,04159,04159
1.29273525213,103.851618904,04167,04167
1.29208221483,103.851259947,04168,04168
1.29638874356,103.851522803,04179,04179
1.29780475651,103.84975,04189,04189
1.29043611099,103.847124444,04211,04211
1.29096802755,103.846867778,04219,04219
1.28898533878,103.84708905,04222,04222
1.29084476137,103.84857901,04223,04223
1.29044830831,103.848751235,04229,04229
1.2888271793,103.847493812,04239,04239
1.29043039363,103.850262165,04249,04249
1.28973833298,103.848884722,04251,04251
1.29464575337,103.843921423,04311,04311
1.29214000778,103.843036462,04321,04321
1.29197057108,103.84328385,04329,04329
1.29183939432,103.845040894,04331,04331
1.29257766944,103.844641488,04339,04339
1.28592554082,103.84923643,05009,05009
1.28571089866,103.844372034,05022,05022
1.28693071126,103.845410895,05023,05023
1.28724656562,103.848333438,05029,05029
1.2853147168,103.844556418,05049,05049
1.28676205969,103.845766783,05059,05059
1.286011667,103.846346667,05129,05129
1.28447078699,103.846670792,05199,05199
1.28449667302,103.849086859,05319,05319
1.27519165673,103.843091904,05411,05411
1.27470669456,103.843186838,05419,05419
1.27553472201,103.841126944,05519,05519
1.27329192032,103.841929093,05629,05629
1.27346055934,103.840347182,05631,05631
1.27273463868,103.841388342,05641,05641
1.27238421221,103.840939122,05649,05649
1.27324242161,103.843050852,05651,05651
1.28607055552,103.838791667,06031,06031
1.28705997883,103.839625556,06039,06039
1.2847485688,103.835177051,06049,06049
1.2847598096,103.834056717,06051,06051
1.2862315772,103.834961624,06069,06069
1.28685859481,103.833600283,06071,06071
1.28837086415,103.833498818,06081,06081
1.29078162052,103.834409167,06129,06129
1.29152472201,103.8322275,06131,06131
1.28963300934,103.833812419,06141,06141
1.28984045728,103.834115267,06149,06149
1.28870976841,103.83737277,06151,06151
1.28909385421,103.836879404,06159,06159
1.28901705678,103.839942861,06161,06161
1.28937078931,103.839989449,06169,06169
1.28607730061,103.842447886,06171,06171
1.28779136478,103.843294281,06189,06189
1.3009991321,103.849825654,07011,07011
1.31313747728,103.856356144,07211,07211
1.31503278657,103.857882704,07221,07221
1.30964820661,103.857353914,07231,07231
1.31557142083,103.859006167,07241,07241
1.31538504413,103.859467697,07249,07249
1.310388333,103.858706667,07319,07319
1.31284472583,103.859890883,07329,07329
1.313518333,103.860545278,07351,07351
1.31358973166,103.86079304,07359,07359
1.31167636068,103.861894837,07361,07361
1.31140805602,103.862378889,07369,07369
1.3095075,103.863501389,07371,07371
1.30966972199,103.863643889,07379,07379
1.29734200003,103.849041,07509,07509
