bus,stop
513,03381
97,03381
97e,03381
513,03391
97,03391
97e,03391
402,03421
106,03501
133,03501
97,03501
97e,03501
NR1,03501
NR6,03501
106,03509
133,03509
502,03509
502A,03509
518,03509
518A,03509
97,03509
97e,03509
106,03511
133,03511
97,03511
97e,03511
NR1,03511
NR6,03511
106,03519
133,03519
502,03519
502A,03519
518,03519
518A,03519
97,03519
97e,03519
106,03531
133,03531
106,03539
513,03539
97,03539
97e,03539
106,04111
111,04111
128,04111
131,04111
14,04111
14e,04111
16,04111
162,04111
162M,04111
167,04111
171,04111
175,04111
36,04111
7,04111
700,04111
700A,04111
77,04111
857,04111
971E,04111
106,04121
111,04121
124,04121
128,04121
131,04121
14,04121
147,04121
14e,04121
16,04121
162,04121
162M,04121
166,04121
167,04121
171,04121
174,04121
174e,04121
175,04121
190,04121
36,04121
7,04121
700,04121
700A,04121
77,04121
857,04121
971E,04121
NR7,04121
12,04142
197,04142
2,04142
32,04142
33,04142
51,04142
61,04142
63,04142
80,04142
124,04143
147,04143
166,04143
174,04143
174e,04143
190,04143
12,04149
147,04149
190,04149
2,04149
33,04149
130,04151
133,04151
145,04151
197,04151
851,04151
960,04151
12,04159
147,04159
190,04159
2,04159
33,04159
NR7,04159
124,04167
145,04167
166,04167
174,04167
174e,04167
197,04167
1N,04167
2N,04167
3N,04167
4N,04167
5N,04167
61,04167
6N,04167
NR1,04167
NR2,04167
NR5,04167
NR6,04167
NR7,04167
NR8,04167
195,04168
32,04168
51,04168
63,04168
80,04168
851,04168
961,04168
961C,04168
106,04179
111,04179
128,04179
131,04179
14,04179
14e,04179
16,04179
162,04179
162M,04179
167,04179
171,04179
175,04179
36,04179
502,04179
502A,04179
518,04179
518A,04179
7,04179
700,04179
700A,04179
77,04179
857,04179
NR7,04179
131,04189
147,04189
166,04189
857,04189
195,04211
1N,04211
2N,04211
32,04211
3N,04211
4N,04211
54,04211
5N,04211
6N,04211
NR1,04211
NR2,04211
NR3,04211
NR5,04211
NR6,04211
NR7,04211
NR8,04211
195,04219
32,04219
54,04219
NR1,04219
NR2,04219
NR3,04219
NR5,04219
NR6,04219
NR7,04219
NR8,04219
12,04222
124,04222
145,04222
147,04222
166,04222
174,04222
174e,04222
190,04222
197,04222
1N,04222
2,04222
2N,04222
33,04222
3N,04222
4N,04222
51,04222
54,04222
5N,04222
61,04222
63,04222
6N,04222
80,04222
851,04222
961,04222
961C,04222
NR1,04222
NR2,04222
NR3,04222
NR5,04222
NR6,04222
NR7,04222
NR8,04222
124,04223
145,04223
147,04223
166,04223
174,04223
174e,04223
190,04223
851,04223
12,04229
147,04229
190,04229
2,04229
33,04229
12,04239
147,04239
190,04239
2,04239
33,04239
54,04239
124,04249
145,04249
166,04249
174,04249
174e,04249
197,04249
1N,04249
2N,04249
3N,04249
4N,04249
51,04249
5N,04249
61,04249
63,04249
6N,04249
80,04249
851,04249
961,04249
961C,04249
NR1,04249
NR2,04249
NR5,04249
NR6,04249
NR7,04249
NR8,04249
195,04251
32,04251
123,04311
139,04311
143,04311
64,04311
123,04321
143,04321
64,04321
123,04329
143,04329
64,04329
195,04331
1N,04331
2N,04331
32,04331
3N,04331
4N,04331
54,04331
5N,04331
6N,04331
NR1,04331
NR2,04331
NR3,04331
NR5,04331
NR6,04331
NR7,04331
NR8,04331
195,04339
32,04339
54,04339
NR1,04339
NR2,04339
NR3,04339
NR5,04339
NR6,04339
NR7,04339
NR8,04339
NR1,05009
NR3,05009
124,05022
145,05022
147,05022
166,05022
190,05022
54,05022
851,05022
12,05023
174,05023
174e,05023
197,05023
2,05023
33,05023
51,05023
61,05023
63,05023
80,05023
961,05023
961C,05023
CT28,05023
124,05029
145,05029
166,05029
174,05029
174e,05029
197,05029
1N,05029
2N,05029
3N,05029
4N,05029
51,05029
5N,05029
61,05029
63,05029
6N,05029
80,05029
851,05029
961,05029
961C,05029
NR1,05029
NR2,05029
NR3,05029
NR5,05029
NR6,05029
NR7,05029
NR8,05029
12,05049
143,05049
147,05049
190,05049
2,05049
33,05049
54,05049
CT18,05049
CT28,05049
CT8,05049
12,05059
147,05059
190,05059
2,05059
33,05059
54,05059
CT28,05059
186,05129
970,05129
145,05199
166,05199
197,05199
61,05199
80,05199
186,05319
970,05319
NR1,05319
NR2,05319
NR5,05319
NR6,05319
NR7,05319
NR8,05319
145,05411
80,05411
145,05419
80,05419
167,05519
196,05519
75,05519
167,05629
196,05629
75,05629
167,05631
196,05631
75,05631
10,05641
100,05641
131,05641
145,05641
30,05641
57,05641
80,05641
97,05641
97e,05641
10,05649
100,05649
131,05649
145,05649
30,05649
57,05649
80,05649
97,05649
97e,05649
NR1,05649
NR6,05649
145,05651
80,05651
174,06031
174e,06031
174,06039
174e,06039
33,06049
63,06049
75,06049
851,06049
970,06049
123,06051
16,06051
175,06051
195,06051
33,06051
5,06051
63,06051
75,06051
851,06051
970,06051
NR5,06051
123,06069
16,06069
175,06069
195,06069
5,06069
75,06069
970,06069
NR5,06069
123,06071
16,06071
175,06071
195,06071
5,06071
75,06071
970,06071
NR5,06071
123,06081
16,06081
175,06081
195,06081
5,06081
75,06081
970,06081
NR5,06081
16,06129
175,06129
195,06129
5,06129
75,06129
970,06129
NR5,06129
16,06131
175,06131
195,06131
1N,06131
2N,06131
3N,06131
4N,06131
5,06131
5N,06131
6N,06131
75,06131
970,06131
NR5,06131
186,06141
1N,06141
2N,06141
3N,06141
4N,06141
51,06141
5N,06141
64,06141
6N,06141
123,06149
186,06149
51,06149
64,06149
123,06151
186,06151
1N,06151
2N,06151
3N,06151
4N,06151
51,06151
5N,06151
64,06151
6N,06151
123,06159
186,06159
51,06159
64,06159
123,06161
186,06161
51,06161
64,06161
123,06169
186,06169
51,06169
64,06169
143,06171
174,06171
174e,06171
186,06171
51,06171
143,06189
174,06189
174e,06189
186,06189
51,06189
131,07011
139,07011
147,07011
166,07011
1N,07011
2N,07011
3N,07011
4N,07011
5N,07011
64,07011
65,07011
6N,07011
857,07011
NR6,07011
125,07211
130,07211
139,07211
147,07211
21,07211
23,07211
64,07211
65,07211
66,07211
67,07211
857,07211
NR6,07211
125,07221
130,07221
139,07221
147,07221
21,07221
23,07221
64,07221
65,07221
66,07221
857,07221
NR6,07221
125,07231
130,07231
21,07231
145,07241
145,07249
67,07249
130,07319
139,07319
147,07319
23,07319
64,07319
65,07319
66,07319
67,07319
857,07319
NR6,07319
125,07329
130,07329
139,07329
147,07329
21,07329
23,07329
64,07329
65,07329
66,07329
67,07329
857,07329
NR6,07329
13,07351
133,07351
145,07351
67,07351
13,07359
133,07359
145,07359
67,07359
13,07361
133,07361
145,07361
67,07361
107,07369
107M,07369
13,07369
133,07369
145,07369
175,07369
61,07369
67,07369
961,07369
961C,07369
107,07371
107M,07371
13,07371
133,07371
145,07371
175,07371
61,07371
67,07371
961,07371
961C,07371
107,07379
107M,07379
13,07379
133,07379
145,07379
175,07379
61,07379
67,07379
961,07379
961C,07379
139,07509
64,07509
65,07509
NR6,07509
56,07518
980,07518
56,07561
56,07569
980,07569
131,07571
139,07571
147,07571
166,07571
56,07571
64,07571
65,07571
857,07571
NR6,07571
123,08011
139,08011
143,08011
64,08011
123,08019
139,08019
143,08019
64,08019
106,08031
111,08031
124,08031
128,08031
14,08031
14e,08031
16,08031
162,08031
162M,08031
167,08031
171,08031
174,08031
174e,08031
175,08031
190,08031
36,08031
65,08031
7,08031
700,08031
700A,08031
77,08031
971E,08031
NR6,08031
NR7,08031
106,08041
111,08041
124,08041
128,08041
139,08041
14,08041
14e,08041
16,08041
162,08041
162M,08041
167,08041
171,08041
174,08041
174e,08041
175,08041
190,08041
36,08041
64,08041
65,08041
7,08041
700,08041
700A,08041
77,08041
971E,08041
NR6,08041
NR7,08041
106,08057
111,08057
124,08057
128,08057
14,08057
14e,08057
16,08057
162,08057
162M,08057
167,08057
171,08057
174,08057
174e,08057
175,08057
190,08057
1N,08057
2N,08057
36,08057
3N,08057
4N,08057
502,08057
502A,08057
518,08057
518A,08057
5N,08057
6N,08057
7,08057
700,08057
700A,08057
77,08057
971E,08057
NR6,08057
NR7,08057
139,08058
64,08058
65,08058
NR6,08058
NR7,08058
106,08069
111,08069
124,08069
128,08069
14,08069
14e,08069
16,08069
162,08069
162M,08069
167,08069
171,08069
174,08069
174e,08069
175,08069
190,08069
36,08069
502,08069
502A,08069
518,08069
518A,08069
7,08069
700,08069
700A,08069
77,08069
NR7,08069
131,08079
139,08079
147,08079
166,08079
1N,08079
2N,08079
3N,08079
4N,08079
5N,08079
64,08079
65,08079
6N,08079
857,08079
NR6,08079
106,08111
111,08111
123,08111
124,08111
128,08111
14,08111
143,08111
14e,08111
16,08111
162,08111
162M,08111
167,08111
171,08111
174,08111
174e,08111
175,08111
190,08111
36,08111
65,08111
7,08111
700,08111
700A,08111
77,08111
971E,08111
NR6,08111
NR7,08111
106,08121
111,08121
123,08121
124,08121
128,08121
14,08121
143,08121
14e,08121
16,08121
162,08121
162M,08121
167,08121
171,08121
174,08121
174e,08121
175,08121
190,08121
36,08121
65,08121
7,08121
700,08121
700A,08121
77,08121
971E,08121
NR1,08121
NR2,08121
NR3,08121
NR5,08121
NR6,08121
NR7,08121
NR8,08121
123,08137
143,08137
NR6,08137
NR7,08137
106,08138
111,08138
124,08138
128,08138
14,08138
14e,08138
16,08138
162,08138
162M,08138
167,08138
171,08138
174,08138
174e,08138
175,08138
190,08138
1N,08138
2N,08138
36,08138
3N,08138
4N,08138
502,08138
502A,08138
518,08138
518A,08138
5N,08138
65,08138
6N,08138
7,08138
700,08138
700A,08138
77,08138
971E,08138
NR6,08138
NR7,08138
106,09059
111,09059
123,09059
14,09059
16,09059
174,09059
174e,09059
175,09059
36,09059
65,09059
7,09059
77,09059
971E,09059
105,09111
106,09111
111,09111
123,09111
132,09111
174,09111
174e,09111
36,09111
7,09111
